title,creators,status,cited_in_thesis,notes
Exploring the relationship between dockerfile quality and project characteristics,"Wu, Yiwen",CONFIRMED_INCLUDED,No,"Full text read: Wu, 2020 IEEE/ACM 42nd ICSE Companion Proceedings, peer-reviewed (companion/short-paper track). Empirical study relating Dockerfile quality to project characteristics."
DRMiner: A Tool For Identifying And Analyzing Refactorings In Dockerfile,"Ksontini, Emna ; Abid, Aycha ; Khalsi, Rania ; Kessentini, Marouane",CONFIRMED_INCLUDED,No,"Full text read: Ksontini, Abid, Khalsi & Kessentini, 2024 IEEE/ACM 21st MSR, peer-reviewed. Tool and empirical evaluation for detecting Dockerfile refactorings."
Assessing and Improving the Quality of Docker Artifacts,"Rosa, Giovanni ; Scalabrino, Simone ; Oliveto, Rocco",EXCLUDED_FULLTEXT,N/A (excluded),"Full text read: Rosa, Scalabrino & Oliveto, 2022 IEEE ICSME (5 pages). Written in proposal tense ('we aim to propose...'); a research-plan/vision paper, not a completed empirical study. Its stated plan is realised and reported by the same authors' already-included later papers (Rosa et al. 2024a, 2024b, 2025)."
A multi-dimensional analysis of technical lag in Debian-based Docker images,"Zerouali, Ahmed ; Mens, Tom ; Decan, Alexandre ; Gonzalez-Barahona, Jesus ; Robles, Gregorio",CONFIRMED_INCLUDED,Yes,Confirmed: currently cited in the dissertation References list as an SLR study
Ten simple rules for writing Dockerfiles for reproducible data science,"Nüst, Daniel ; Sochat, Vanessa ; Marwick, Ben ; Eglen, Stephen J. ; Head, Tim ; Hirst, Tony ; Evans, Benjamin D.",CONFIRMED_INCLUDED,Yes,Confirmed: currently cited in the dissertation References list as an SLR study
Structured information on state and evolution of dockerfiles on github,"Schermann, Gerald ; Zumberi, Sali ; Cito, Jürgen",CONFIRMED_INCLUDED,Yes,Confirmed: currently cited in the dissertation References list as an SLR study
A clustering-based approach for mining dockerfile evolutionary trajectories,"Zhang, Yang ; Wang, Huaimin ; Filkov, Vladimir",CONFIRMED_INCLUDED,No,"Full text read: Zhang, Wang & Filkov, Science China Information Sciences (Letter), peer-reviewed journal. Clustering approach for mining Dockerfile evolution."
A Dataset of Dockerfiles,"Henkel, Jordan ; Bird, Christian ; Lahiri, Shuvendu K. ; Reps, Thomas",EXCLUDED_FULLTEXT,N/A (excluded),"Full text read: Henkel, Bird, Lahiri & Reps, MSR 2020 (Data Showcase-style paper introducing the Binnacle dataset). Provides a resource/dataset rather than empirical findings on faults/flakiness/repair. Its dataset is already used via Henkel et al. (2020) 'Learning from, Understanding, and Supporting DevOps Artifacts for Docker', already in the confirmed corpus -- including this too would double-count the same contribution."
What Quality Aspects Influence the Adoption of Docker Images?,"Rosa, Giovanni ; Scalabrino, Simone ; Bavota, Gabriele ; Oliveto, Rocco",CONFIRMED_INCLUDED,No,"Full text read: Rosa, Scalabrino, Bavota & Oliveto, peer-reviewed journal article. Empirical study of 2,441 Docker images/1,911 projects on quality features influencing base-image adoption."
Time to Rebuild Alpine Linux Docker Containers After Package Manager Patch,"Hall, Christine",EXCLUDED_FULLTEXT,N/A (excluded),"Full text read: Christine Hall, tech-news/blog article (ProQuest-indexed), not an academic study. Not peer-reviewed and lacks empirical methodology -- excluded on both peer-review and evidentiary grounds."
Vessel: A Taxonomy of Reproducibility Issues for Container Images,"Pitstick, Kevin; Derr, Alex; Zhan, Lihan; Echeverría, Sebastián;",CONFIRMED_INCLUDED,Yes,Confirmed: currently cited in the dissertation References list as an SLR study
Docker does not guarantee reproducibility,"Malka, Julien; Zacchiroli, Stefano; Zimmermann, Théo;",CONFIRMED_INCLUDED,Yes,Confirmed: currently cited in the dissertation References list as an SLR study
Dockerfile tf smell detection based on dynamic and static analysis methods,"Xu, Jiwei; Wu, Yuewen; Lu, Zhigang; Wang, Tao;",EXCLUDED_FULLTEXT,N/A (excluded),"Full text read: Xu, Wu, Lu & Wang, 2019 IEEE 43rd Annual COMPSAC, peer-reviewed conference. Same core contribution (Temporary File / TF smell detection via dynamic and static analysis) and overlapping authorship (Xu, Wu, Lu, Wang) as the already-included Lu et al. (2019) 'An Empirical Case Study on the Temporary File Smell in Dockerfiles' (IEEE Access) -- this appears to be the earlier conference version later extended into that journal paper. Excluded as a duplicate/earlier version."
Static Detection Method for Dockerfile Temporary Files Based on Rule Validation,"SU, Hui; ZHANG, Jianhui; ZENG, Junjie; CHU, Xiaoxi;",EXCLUDED_FULLTEXT,N/A (excluded),Full text could not be accessed (source site unavailable). Excluded per the full-text exclusion criterion 'the full text cannot be accessed' (Section 3.1.2). Flag for re-attempt if the source becomes accessible before submission -- not yet confirmed as ineligible on content grounds.
"Dockerfile changes in practice: A large-scale empirical study of 4,110 projects on github","Wu, Yiwen; Zhang, Yang; Wang, Tao; Wang, Huaimin;",CONFIRMED_INCLUDED,No,"Full text read: Wu, Zhang, Wang & Wang, 2020 27th APSEC, peer-reviewed. Large-scale empirical study of Dockerfile change patterns."
Refactoring for Dockerfile quality: A dive into developer practices and automation potential,"Ksontini, Emna; Mastouri, Meriem; Khalsi, Rania; Kessentini, Wael;",CONFIRMED_INCLUDED,Yes,Confirmed: currently cited in the dissertation References list as an SLR study
"Understanding Docker Refactorings: Expanded Taxonomy, Operational Trade-Offs, and Role-Aware Recommendations","Ksontini, Emna; Ferreira, Thiago; Khalsi, Rania; Kessentini, Wael;",CONFIRMED_INCLUDED,Yes,Confirmed: currently cited in the dissertation References list as an SLR study
Parfum: Detection and automatic repair of dockerfile smells,"Durieux, Thomas;",EXCLUDED_FULLTEXT,N/A (excluded),"Full text read: Durieux, arXiv:2302.01707 (Feb 2023) -- confirmed via web search to be an arXiv preprint, not published at a peer-reviewed venue. Excluded per the peer-review criterion (Section 3.1.2); no exception justified. Its approach is also already represented in the corpus via the peer-reviewed Durieux (2024) ICSE paper 'Empirical Study of the Docker Smells Impact on the Image Size', which explicitly presents the Parfum approach."
DockerFill: Automatically Completing Dockerfile Code With Syntax-Aware Multi-Task Learning,"Wu, Yiwen; Zhang, Yang; Wang, Tao; Ding, Bo; Wang, Huaimin;",CONFIRMED_INCLUDED,No,"Full text read: Wu, Zhang, Wang, Ding & Wang, IEEE Transactions on Software Engineering, Jan 2026, peer-reviewed journal. ML-based Dockerfile code completion, relevant to authoring-error mitigation."
Improving the Developer Experience of Dockerfiles,"da Silva Matos, João Pereira;",EXCLUDED_FULLTEXT,N/A (excluded),"Full text read: Matos, Master's thesis (Mestrado em Engenharia Informatica e Computacao), FEUP, July 2023. Not peer-reviewed (jury-evaluated thesis, not blind peer review) -- excluded per the peer-review criterion in Section 3.1.2; no exception justified."
